image,det_idx,yolo_conf,box,gt_class,raw_ocr,norm_ocr,ocr_conf,orientation,pp_variant,exact_match,is_floor,is_icon,iou
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,1,0.8959,"287,494,395,563",B2,B2,B2,0.9996,original,gray,True,True,False,0.9413
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,2,0.8891,"123,314,229,373",10,10,10,1.0,original,otsu,True,True,False,0.9345
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,3,0.8836,"122,224,226,283",11,11,11,1.0,original,clahe,True,True,False,0.8339
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,4,0.8796,"126,409,232,471",9,9,9,1.0,original,gray,True,True,False,0.9357
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,5,0.8768,"266,47,362,101",4,,,0.0,original,gray,False,True,False,0.9079
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,6,0.8717,"129,503,234,573",7,7,7,1.0,original,gray,True,True,False,0.9034
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,7,0.8688,"274,216,374,275",2,2,2,1.0,original,gray,True,True,False,0.8835
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,8,0.8684,"268,130,368,188",3,3,3,1.0,original,gray,True,True,False,0.8651
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,9,0.8683,"120,139,221,194",12,12,12,1.0,original,clahe,True,True,False,0.9439
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,10,0.8642,"278,303,380,364",1,,,0.0,original,gray,False,True,False,0.8689
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,11,0.8455,"120,55,216,108",13,13,13,1.0,original,otsu,True,True,False,0.8751
11_mp4-0015_jpg.rf.1e19111902ae48d22cd94f59cce0aae0,12,0.8368,"293,593,403,640",B3,,,0.0,original,gray,False,True,False,0.8194
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,0,0.8714,"446,1007,612,1136",21,21,21,1.0,flipped,clahe,True,True,False,0.8855
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,1,0.8673,"230,808,383,969",25,25,25,0.9982,flipped,clahe,True,True,False,0.8474
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,2,0.8652,"456,627,623,796",27,27,27,0.9998,flipped,clahe,True,True,False,0.8848
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,3,0.8651,"452,822,617,988",24,24,24,0.9998,flipped,otsu,True,True,False,0.9108
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,4,0.8604,"19,972,168,1130",23,23,23,0.9996,flipped,clahe,True,True,False,0.8857
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,5,0.8558,"459,425,631,603",30,30,30,0.9999,flipped,clahe,True,True,False,0.8182
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,6,0.8531,"229,626,380,784",28,8,8,0.9995,flipped,otsu,False,True,False,0.8614
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,7,0.8523,"18,799,166,952",26,26,26,0.9998,flipped,clahe,True,True,False,0.9612
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,8,0.8463,"228,990,383,1136",22,22,22,0.9587,flipped,clahe,True,True,False,0.9129
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,9,0.8262,"16,621,163,775",29,,,0.0,original,gray,False,True,False,0.9338
12_mp4-0002_jpg.rf.3a38024c3f8e782bb55eb5a08757b732,10,0.816,"228,0,394,122",Emergency,,,0.0,original,gray,False,False,False,0.8662
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,0,0.8903,"498,590,639,756",2,2,2,1.0,original,gray,True,True,False,0.8969
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,1,0.8895,"5,627,182,803",B1,B7,87,0.897,original,gray,False,True,False,0.9614
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,2,0.8781,"0,182,150,380",6,6,6,1.0,original,clahe,True,True,False,0.8504
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,3,0.8774,"232,177,417,371",7,:,,0.4001,flipped,gray,False,True,False,0.9203
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,4,0.8761,"491,388,639,566",5,5,5,1.0,original,clahe,True,True,False,0.8524
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,5,0.8756,"260,612,426,777",1,1,1,0.7291,original,gray,True,True,False,0.924
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,6,0.8717,"488,175,640,361",8,8,8,1.0,flipped,clahe,True,True,False,0.9212
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,7,0.8715,"222,0,405,147",10,,,0.0,original,gray,False,True,False,0.9271
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,8,0.8628,"248,403,420,579",4,4,4,0.5399,original,otsu,True,True,False,0.8675
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,9,0.861,"0,410,168,595",3,3,3,1.0,original,clahe,True,True,False,0.9007
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,10,0.8589,"506,968,639,1113",Close,,,0.0,original,gray,False,False,True,0.8294
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,11,0.8509,"480,0,640,144",11,,,0.0,original,gray,False,True,False,0.908
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,12,0.8506,"0,0,140,152",9,,,0.0,original,gray,False,True,False,0.9671
12_mp4-0013_jpg.rf.0c805ecc794f0fb22392ab27dbb4ef4c,13,0.8441,"57,989,428,1136",Open,,,0.0,original,gray,False,False,True,0.6904
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,0,0.8815,"467,409,639,596",3,3,3,1.0,flipped,clahe,True,True,False,0.9218
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,1,0.8791,"215,611,381,777",1,,,0.0,original,gray,False,True,False,0.9185
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,2,0.8739,"499,0,639,151",9,,,0.0,original,gray,False,True,False,0.9599
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,3,0.8737,"457,627,632,801",B1,ra,RA,0.9629,original,clahe,False,True,False,0.9398
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,4,0.8723,"0,387,150,563",5,5,5,1.0,flipped,clahe,True,True,False,0.8723
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,5,0.8647,"0,590,142,757",2,2,2,1.0,flipped,clahe,True,True,False,0.8974
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,6,0.8641,"216,997,594,1136",Open,,,0.0,original,gray,False,False,True,0.6995
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,7,0.8621,"219,403,394,579",4,4,4,0.9949,flipped,otsu,True,True,False,0.8814
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,8,0.862,"222,176,406,371",7,:,,0.1162,original,gray,False,True,False,0.911
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,9,0.8599,"0,174,153,362",8,8,8,1.0,original,clahe,True,True,False,0.9493
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,10,0.8567,"484,180,640,381",6,6,6,1.0,flipped,clahe,True,True,False,0.8701
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,11,0.8504,"231,0,419,148",10,,,0.0,original,gray,False,True,False,0.919
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,12,0.8352,"0,0,159,145",11,,,0.0,original,gray,False,True,False,0.9086
12_mp4-0013_jpg.rf.ecd6172ce09df930af975340e9c9a60f,13,0.8315,"0,965,133,1114",Close,,,0.0,original,gray,False,False,True,0.8204
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,0,0.8912,"462,520,639,702",B1,B7,87,0.8282,flipped,clahe,False,True,False,0.9889
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,1,0.8774,"217,512,389,678",1,,,0.0,original,gray,False,True,False,0.8514
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,2,0.8738,"0,493,147,665",2,2,2,1.0,flipped,gray,True,True,False,0.8793
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,3,0.8721,"471,299,640,493",3,3,3,1.0,flipped,clahe,True,True,False,0.8562
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,4,0.8719,"228,67,415,265",7,,,0.0,original,gray,False,True,False,0.89
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,5,0.8645,"0,67,160,260",8,8,8,1.0,original,clahe,True,True,False,0.847
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,6,0.8602,"0,284,152,466",5,5,5,1.0,flipped,clahe,True,True,False,0.8282
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,7,0.86,"491,67,640,272",6,,,0.0,original,gray,False,True,False,0.9454
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,8,0.8571,"219,295,400,480",4,,,0.0,original,gray,False,True,False,0.9369
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,9,0.852,"0,878,137,1025",Close,,,0.0,original,gray,False,False,True,0.858
12_mp4-0014_jpg.rf.39a239f5411e6571d0f16729e5b4d83a,10,0.8499,"224,915,600,1088",Open,,,0.0,original,gray,False,False,True,0.7822
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,0,0.878,"207,820,367,977",1,,,0.0,original,gray,False,True,False,0.8197
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,1,0.8734,"435,840,605,1000",B1,Ta,TA,0.9166,original,otsu,False,True,False,0.9303
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,2,0.8711,"1,617,147,776",5,5,5,1.0,flipped,clahe,True,True,False,0.8203
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,3,0.8699,"465,0,640,192",12,2,2,0.2975,flipped,clahe,False,True,False,0.82
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,4,0.8687,"0,423,149,593",8,8,8,1.0,original,clahe,True,True,False,0.8213
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,5,0.8648,"209,430,380,602",7,,,0.0,original,gray,False,True,False,0.9386
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,6,0.8647,"446,436,631,615",6,6,6,1.0,flipped,clahe,True,True,False,0.8261
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,7,0.8623,"443,641,616,811",3,3,3,1.0,flipped,otsu,True,True,False,0.9089
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,8,0.8585,"0,800,145,954",2,2,2,1.0,flipped,gray,True,True,False,0.9174
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,9,0.856,"0,216,146,398",11,1,1,0.8082,flipped,gray,False,True,False,0.7803
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,10,0.8555,"209,629,373,793",4,A,A,0.8294,flipped,otsu,False,True,False,0.7341
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,11,0.8552,"456,216,639,413",9,,,0.0,original,gray,False,True,False,0.83
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,12,0.8516,"0,5,148,196",14,1a,1A,0.5409,flipped,clahe,False,True,False,0.8732
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,13,0.8431,"212,0,397,195",13,,,0.0,original,gray,False,True,False,0.8769
12_mp4-0017_jpg.rf.0e84db6aa584170f7c85e770403220a2,14,0.8427,"207,215,390,406",10,10,10,1.0,flipped,clahe,True,True,False,0.7976
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,0,0.8781,"207,820,367,977",1,,,0.0,original,gray,False,True,False,0.8197
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,1,0.8737,"435,840,605,1000",B1,Ta,TA,0.9304,original,otsu,False,True,False,0.9303
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,2,0.8713,"1,617,147,776",5,5,5,1.0,flipped,clahe,True,True,False,0.8203
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,3,0.87,"465,0,640,192",12,9,9,0.38,flipped,clahe,False,True,False,0.82
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,4,0.8687,"0,423,149,593",8,8,8,1.0,original,clahe,True,True,False,0.8213
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,5,0.8651,"209,431,380,602",7,,,0.0,original,gray,False,True,False,0.9332
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,6,0.8648,"446,436,631,615",6,6,6,0.9993,flipped,clahe,True,True,False,0.8261
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,7,0.8624,"443,642,616,811",3,3,3,1.0,flipped,otsu,True,True,False,0.9143
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,8,0.8587,"0,800,145,954",2,2,2,1.0,flipped,gray,True,True,False,0.9174
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,9,0.856,"0,216,146,398",11,1,1,0.7154,flipped,gray,False,True,False,0.7803
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,10,0.8557,"209,629,373,793",4,A,A,0.8226,flipped,otsu,False,True,False,0.7341
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,11,0.8552,"456,216,639,412",9,,,0.0,original,gray,False,True,False,0.8342
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,12,0.8516,"0,5,148,196",14,1a,1A,0.6233,flipped,clahe,False,True,False,0.8732
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,13,0.8432,"212,0,397,195",13,,,0.0,original,gray,False,True,False,0.8769
12_mp4-0017_jpg.rf.191b3f0a85a206ea14595f340d522bdd,14,0.843,"206,215,390,406",10,10,10,1.0,flipped,clahe,True,True,False,0.8014
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,0,0.8827,"80,904,233,1041",3,3,3,0.9999,original,otsu,True,True,False,0.9602
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,1,0.8708,"72,559,229,709",9,,,0.0,original,gray,False,True,False,0.9173
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,2,0.8693,"281,0,445,167",19,,,0.0,original,gray,False,True,False,0.901
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,3,0.8648,"57,178,226,352",15,15,15,1.0,original,otsu,True,True,False,0.8745
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,4,0.8625,"488,549,628,693",11,11,11,0.9993,original,clahe,True,True,False,0.8956
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,5,0.8605,"291,886,428,1021",4,4,4,0.9976,original,otsu,True,True,False,0.9037
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,6,0.859,"479,1020,611,1136",2,2,2,1.0,original,clahe,True,True,False,0.9041
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,7,0.8587,"66,375,227,534",12,12,12,1.0,original,clahe,True,True,False,0.9236
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,8,0.8571,"77,735,229,878",6,6,6,0.8234,original,gray,True,True,False,0.8462
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,9,0.8568,"291,723,433,865",7,,,0.0,original,gray,False,True,False,0.9212
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,10,0.856,"285,376,438,532",13,13,13,1.0,original,clahe,True,True,False,0.9266
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,11,0.8536,"484,870,615,1001",5,5,5,1.0,original,otsu,True,True,False,0.9141
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,12,0.8475,"47,0,223,159",18,0,0,0.9223,original,clahe,False,True,False,0.9215
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,13,0.8465,"288,553,434,700",10,10,10,0.9999,original,gray,True,True,False,0.8639
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,14,0.8455,"282,187,443,355",16,16,16,1.0,original,clahe,True,True,False,0.829
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,15,0.8425,"495,195,639,355",17,,,0.0,original,gray,False,True,False,0.7821
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,16,0.841,"497,2,640,178",20,20,20,0.997,original,clahe,True,True,False,0.874
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,17,0.8398,"493,377,637,529",14,14,14,1.0,original,clahe,True,True,False,0.9353
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,18,0.8333,"486,712,622,851",8,8,8,1.0,original,gray,True,True,False,0.8689
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,19,0.8117,"288,1041,428,1136",1,,,0.0,original,gray,False,True,False,0.8881
12_mp4-0020_jpg.rf.83a9604de7ea1ea4bd2847d6f1b8d938,20,0.7641,"88,1063,236,1136",B1,Ta,TA,0.8838,flipped,clahe,False,True,False,0.8076
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,0,0.8718,"50,838,179,974",8,8,8,1.0,original,gray,True,True,False,0.9054
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,1,0.8636,"431,701,583,848",9,0,0,0.5411,original,clahe,False,True,False,0.926
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,2,0.8628,"431,872,579,1008",6,6,6,1.0,flipped,gray,True,True,False,0.9586
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,3,0.8608,"231,855,373,991",7,,,0.0,original,gray,False,True,False,0.848
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,4,0.8514,"229,691,373,833",10,10,10,1.0,flipped,gray,True,True,False,0.8197
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,5,0.8506,"431,523,590,678",12,12,12,1.0,flipped,gray,True,True,False,0.9445
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,6,0.8476,"428,1031,574,1136",3,3,3,1.0,flipped,clahe,True,True,False,0.8987
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,7,0.8467,"434,144,605,317",18,18,18,0.9998,flipped,clahe,True,True,False,0.918
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,8,0.8439,"432,340,599,502",15,15,15,1.0,flipped,gray,True,True,False,0.8216
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,9,0.8416,"234,1013,371,1136",4,4,4,0.9964,flipped,otsu,True,True,False,0.8904
12_mp4-0021_jpg.rf.51fd969472d3a690a9c0abc4acbedaf1,10,0.8404,"228,521,376,671",13,13,13,1.0,flipped,clahe,True,True,False,0.8994
